rank,name,mark,author,publisher,year,price
1,红楼梦,9.6,曹雪芹,人民文学出版社,1996,59.70
2,活着,9.4,余华,作家出版社,2012,20.00
3,百年孤独,9.3,加西亚·马尔克斯,南海出版公司,2011,39.50
4,1984,9.4,乔治·奥威尔,北京十月文艺出版社,2010,28.00
5,飘,9.3,玛格丽特·米切尔,译林出版社,2000,40.00
6,三体全集,9.4,刘慈欣,重庆出版社,2012,168.00
7,三国演义（全二册）,9.3,罗贯中,人民文学出版社,1998,39.50
8,白夜行,9.1,东野圭吾,南海出版公司,2008,29.80
9,小王子,9.0,安东尼·德·圣-埃克苏佩里,人民文学出版社,2003,22.00
10,福尔摩斯探案全集（上中下）,9.3,阿瑟·柯南·道尔,群众出版社,1981,68.00
11,房思琪的初恋乐园,9.2,林奕含,北京联合出版公司,2018,45.00
12,动物农场,9.3,乔治·奥威尔,上海译文出版社,2007,10.00
13,撒哈拉的故事,9.2,三毛,哈尔滨出版社,2003,15.80
14,天龙八部,9.1,金庸,生活·读书·新知三联书店,1994,96.00
15,安徒生童话故事集,9.2,安徒生,人民文学出版社,1997,25.00
16,平凡的世界（全三部）,9.0,路遥,人民文学出版社,2005,64.00
17,围城,8.9,钱钟书,人民文学出版社,1991,19.00
18,霍乱时期的爱情,9.0,加西亚·马尔克斯,南海出版公司,2012,39.50
19,局外人,9.0,阿尔贝·加缪,上海译文出版社,2010,22.00
20,明朝那些事儿（1-9）,9.1,当年明月,中国海关出版社,2009,358.20
21,沉默的大多数,9.1,王小波,中国青年出版社,1997,27.00
22,追风筝的人,8.9,卡勒德·胡赛尼,上海人民出版社,2006,29.00
23,人类简史,9.1,尤瓦尔·赫拉利,中信出版社,2014,68.00
24,哈利·波特,9.7,J.K.罗琳,人民文学出版社,2008,498.00
25,月亮和六便士,9.0,威廉·萨默塞特·毛姆,上海译文出版社,2006,15.00
26,冰与火之歌（卷一）,9.3,乔治·R·R·马丁,重庆出版社,2005,68.00
27,肖申克的救赎,9.1,斯蒂芬·金,人民文学出版社,2006,29.90
28,笑傲江湖（全四册）,9.0,金庸,生活·读书·新知三联书店,1994,76.80
29,基督山伯爵,9.0,大仲马,上海译文出版社,1991,43.90
30,杀死一只知更鸟,9.2,哈珀·李,译林出版社,2012,32.00
31,呐喊,9.0,鲁迅,人民文学出版社,1973,0.36
32,万历十五年,8.9,黄仁宇,生活·读书·新知三联书店,1997,18.00
33,嫌疑人X的献身,8.9,东野圭吾,南海出版公司,2008,28.00
34,东方快车谋杀案,9.0,阿加莎·克里斯蒂,人民文学出版社,2006,18.00
35,中国历代政治得失,9.2,钱穆,生活·读书·新知三联书店,2001,12.00
36,江城,9.1,彼得·海斯勒,上海译文出版社,2012,36.00
37,新名字的故事,9.1,埃莱娜·费兰特,人民文学出版社,2017,59.00
38,傲慢与偏见,8.9,简·奥斯汀,人民文学出版社,1993,13.00
39,寻路中国,9.0,彼得·海斯勒,上海译文出版社,2011,33.00
40,失踪的孩子,9.2,埃莱娜·费兰特,人民文学出版社,2018,62.00
41,射雕英雄传（全四册）,9.0,金庸,生活·读书·新知三联书店,1999,47.00
42,黄金时代,8.9,王小波,花城出版社,1999,19.00
43,刀锋,9.0,毛姆,上海译文出版社,2007,18.00
44,格林童话全集,9.0,格林兄弟,人民文学出版社,1994,21.45
45,无人生还,8.9,阿加莎·克里斯蒂,人民文学出版社,2008,19.00
46,乡土中国,9.2,费孝通,上海人民出版社,2006,38.00
47,城南旧事,9.0,林海音,中国青年出版社,2003,16.00
48,我与地坛,9.1,史铁生,春风文艺出版社,2002,25.00
49,白鹿原,9.2,陈忠实,人民文学出版社,2012,39.00
50,历史深处的忧虑,9.0,林达,生活·读书·新知三联书店,1997,19.00
51,看见,8.8,柴静,广西师范大学出版社,2013,39.80
52,神雕侠侣,8.9,金庸,生活·读书·新知三联书店,1994,76.80
53,许三观卖血记,8.8,余华,南海出版公司,1998,16.80
54,灿烂千阳,8.8,卡勒德·胡赛尼,上海人民出版社,2007,28.00
55,朝花夕拾,8.9,鲁迅,人民文学出版社,1972,0.25
56,悲惨世界（上中下）,9.0,维克多·雨果,人民文学出版社,1992,66.00
57,野草,9.4,鲁迅,人民文学出版社,1973,0.20
58,哭泣的骆驼,8.9,三毛,哈尔滨出版社,2003,15.80
59,史记（全十册）,9.5,司马迁,中华书局,1982,125.00
60,彷徨,9.1,鲁迅,人民文学出版社,1973,0.37
61,文学回忆录,9.1,木心口述,广西师范大学出版社,2013,98.00
62,窗边的小豆豆,8.7,黑柳彻子著,南海出版公司,2003,20.00
63,邓小平时代,9.2,傅高义,生活·读书·新知三联书店,2013,88.00
64,浪潮之巅,9.0,吴军,电子工业出版社,2011,55.00
65,西游记（全二册）,8.9,吴承恩,人民文学出版社,2004,47.20
66,我们仨,8.7,杨绛,生活·读书·新知三联书店,2003,18.80
67,上帝掷骰子吗,9.2,曹天元,辽宁教育出版社,2006,32.00
68,树上的男爵,9.1,伊塔洛·卡尔维诺,译林出版社,2012,30.00
69,艺术的故事,9.6,E·H·贡布里希,广西美术出版社,2008,280.00
70,中国少年儿童百科全书（全四册）,9.4,林崇德主编,浙江教育出版社,1991,168.00
71,卡拉马佐夫兄弟,9.4,费奥多尔·陀思妥耶夫斯基,上海译文出版社,2006,25.00
72,台北人,8.9,白先勇,广西师范大学出版社,2010,38.00
73,爱你就像爱生命,8.8,李银河,上海锦绣文章出版社,2008,18.00
74,诗经,9.4,孔丘,北京出版社,2006,19.90
75,道德经,9.4,黄元吉,陕西人民出版社,1996,4.50
76,悉达多,9.0,赫尔曼·黑塞,上海人民出版社,2009,20.00
77,永恒的终结,9.0,艾萨克·阿西莫夫,江苏凤凰文艺出版社,2014,32.00
78,人间词话,9.0,王国维,上海古籍出版社,1998,9.80
79,这些人，那些事,8.8,吴念真,译林出版社,2011,28.00
80,飞鸟集,8.9,拉宾德拉纳特·泰戈尔,哈尔滨出版社,2004,16.80
81,基地,9.2,艾萨克·阿西莫夫,天地出版社,2005,21.00
82,教父,9.0,马里奥·普佐,译林出版社,1997,23.30
83,边城,8.7,沈从文,北岳文艺出版社,2002,12.00
84,罗杰疑案,9.2,阿加莎·克里斯蒂,新星出版社,2013,28.00
85,唐诗三百首,9.4,蘅塘退士,中华书局,1998,0.65
86,巨人的陨落,8.9,肯·福莱特,江苏凤凰文艺出版社,2016,129.80
87,鹿鼎记（全五册）,8.8,金庸,广州出版社花城出版社,2008,108.00
88,梦里花落知多少,8.8,三毛,北京十月文艺出版社,2007,28.00
89,故事新编,9.4,鲁迅,人民文学出版社,1973,0.31
90,海子的诗,8.9,海子,人民文学出版社,1999,15.40
91,鼠疫,9.0,阿尔贝·加缪,上海译文出版社,2013,34.00
92,看不见的城市,8.8,伊塔洛·卡尔维诺,译林出版社,2006,16.00
93,斯通纳,8.8,约翰·威廉斯,上海人民出版社,2016,49.00
94,呼兰河传,8.9,萧红,百花文艺出版社,2005,19.00
95,时间简史,8.8,史蒂芬·霍金,湖南科学技术出版社,2010,45.00
96,一个陌生女人的来信,8.7,斯蒂芬·茨威格,上海译文出版社,2007,20.00
97,最好的告别,9.0,阿图·葛文德,浙江人民出版社,2015,49.90
98,人生的枷锁,9.0,威廉·萨默塞特·毛姆,上海译文出版社,2007,32.00
99,一个叫欧维的男人决定去死,9.0,弗雷德里克·巴克曼,四川文艺出版社,2015,35.00
100,陆犯焉识,8.8,严歌苓,作家出版社,2011,35.00
101,解忧杂货店,8.5,东野圭吾,南海出版公司,2014,39.50
102,献给阿尔吉侬的花束,9.1,丹尼尔·凯斯,广西师范大学出版社,2015,36.00
103,你当像鸟飞往你的山,8.7,塔拉·韦斯特弗,南海出版公司,2019,59.00
104,送你一颗子弹,8.6,刘瑜,上海三联书店,2010,25.00
105,史蒂夫·乔布斯传,8.7,沃尔特·艾萨克森,中信出版社,2011,68.00
106,目送,8.6,龙应台,生活·读书·新知三联书店,2009,39.00
107,孩子你慢慢来,8.7,龙应台,生活·读书·新知三联书店,2009,28.00
108,王尔德童话,9.1,奥斯卡·王尔德,译林出版社,2003,6.00
109,冬牧场,9.0,李娟,新星出版社,2012,29.80
110,情书,8.6,岩井俊二,天津人民出版社,2004,18.00
111,离开的，留下的,8.8,埃莱娜·费兰特,人民文学出版社,2017,62.00
112,叫魂,9.0,孔飞力,生活·读书·新知三联书店上海三联书店,2012,38.00
113,亲爱的安德烈,8.6,龙应台,人民文学出版社,2008,26.00
114,十万个为什么,9.1,无名,少年儿童出版社,1962,30.00
115,倾城之恋,8.7,张爱玲,北京十月文艺出版社,2006,29.80
116,金色梦乡,9.0,伊坂幸太郎,译林出版社,2010,35.00
117,人生的智慧,9.2,叔本华,上海人民,2008,28.00
118,海的女儿,9.1,汉斯·克里斯蒂安·安徒生,上海译文出版社,1978,0.43
119,万水千山走遍,8.8,三毛,哈尔滨出版社,2003,13.80
120,不能承受的生命之轻,8.5,米兰·昆德拉,上海译文出版社,2003,23.00
121,九州·缥缈录,8.8,江南,新世界出版社,2005,20.00
122,孽子,9.1,白先勇,广西师范大学出版社,2010,46.00
123,苏菲的世界,8.8,乔斯坦·贾德,作家出版社,2007,26.00
124,球状闪电,8.7,刘慈欣,四川科学技术出版社,2005,22.00
125,美的历程,9.2,李泽厚,生活·读书·新知三联书店,2009,43.00
126,浮生六记,8.8,沈复,人民文学出版社,1999,5.70
127,爱的艺术,8.8,艾·弗洛姆,上海译文出版社,2008,15.00
128,经济学原理（上下）,9.1,格里高里·曼昆,机械工业出版社,2003,88.00
129,國史大綱（上下）,9.3,钱穆,商務印書館,2013,76.00
130,野火集,8.8,龙应台,文汇出版社,2005,25.00
131,银河系漫游指南,8.8,道格拉斯·亚当斯,四川科学技术出版社,2005,16.00
132,麦琪的礼物,8.6,欧·亨利,上海社会科学院出版社,2003,25.00
133,民主的细节,8.6,刘瑜,上海三联书店,2009,25.00
134,我也有一个梦想,9.0,林达,生活·读书·新知三联书店,2004,25.00
135,半生缘,8.6,张爱玲,北京十月文艺出版社,2006,28.00
136,全球通史(上),9.2,斯塔夫里阿诺斯,北京大学出版社,2006,42.00
137,亮剑,8.9,都梁,解放军文艺出版社,2005,28.00
138,古文观止,9.1,吴楚材,中华书局,1987,21.00
139,面纱,8.7,威廉·萨默塞特·毛姆,重庆,2012,32.00
140,四世同堂,9.3,老舍,北京十月文艺出版社,2008,36.00
141,激荡三十年,8.6,吴晓波,中信出版社,2008,32.00
142,你好，旧时光（上 下）,8.7,八月长安,新世界出版社,2009,39.80
143,小径分岔的花园,8.9,豪·路·博尔赫斯,上海译文出版社,2015,23.00
144,尼罗河上的惨案,8.7,阿加莎·克里斯蒂,人民文学出版社,2006,22.00
145,牧羊少年奇幻之旅,8.5,保罗·柯艾略,南海出版公司,2009,25.00
146,荆棘鸟,8.6,考琳·麦卡洛,译林出版社,1998,28.00
147,枪炮、病菌与钢铁,8.7,贾雷德·戴蒙德,上海世纪出版集团,2006,45.00
148,我的阿勒泰,8.8,李娟,云南人民出版社,2010,22.00
149,我的天才女友,8.6,埃莱娜·费兰特,人民文学出版社,2017,42.00
150,绿毛水怪,9.0,王小波,时代文艺出版社,2009,30.00
151,简爱（英文全本）,8.5,夏洛蒂·勃朗特,世界图书出版公司,2003,18.00
152,棋王,8.8,阿城,作家出版社,1999,13.00
153,故事,9.2,罗伯特·麦基,天津人民出版社,2014,68.00
154,昨日的世界,9.2,斯蒂芬·茨威格,广西师范大学出版社,2004,32.00
155,社会心理学,9.0,戴维·迈尔斯,人民邮电出版社,2006,68.00
156,温柔的夜,9.1,三毛,北京十月文艺出版社,2007,28.00
157,德米安,9.0,赫尔曼·黑塞,上海人民出版社,2009,25.00
158,倚天屠龙记(共四册),8.6,金庸,三联书店,1999,47.00
159,霸王别姬,9.1,李碧华,人民文学出版社,1999,10.20
160,罗生门,8.7,芥川龙之介,上海译文出版社,2008,12.00
161,水浒传（全二册）,8.6,罗贯中,人民文学出版社,1997,50.60
162,雨季不再来,8.7,三毛,北京十月文艺出版社,2007,28.00
163,正见,8.8,宗萨蒋扬钦哲仁波切,中国友谊出版公司,2007,25.00
164,一句顶一万句,8.7,刘震云,长江文艺出版社,2009,29.80
165,总统是靠不住的,8.8,林达,生活·读书·新知三联书店,2004,21.80
166,渴望生活,9.2,欧文·斯通,北京十月文艺出版社,2008,29.80
167,一千零一夜,8.7,无名,人民文学出版社,2003,22.00
168,顾城的诗,8.8,顾城,人民文学出版社,1998,20.00
169,万物有灵且美,8.8,吉米·哈利,中国城市出版社,2010,28.80
170,茶馆,9.0,老舍,人民文学出版社,2002,9.80
171,最好的我们,8.7,八月长安,湖南文艺出版社,2013,55
172,恶意,8.5,东野圭吾,南海出版公司,2009,18.00
173,阿勒泰的角落,9.1,李娟,万卷出版公司,2010,25.00
174,青铜时代,8.7,王小波,花城出版社,1997,29.00
175,罪与罚,9.2,费奥多尔·陀思妥耶夫斯基,上海译文出版社,2006,23.00
176,理想国,8.8,柏拉图,商务印书馆,1986,28.00
177,认识电影,8.9,路易斯·贾内梯,世界图书出版公司,2007,68.00
178,设计中的设计,8.6,原研哉,山东人民出版社,2006,48.00
179,失明症漫记,9.1,若泽·萨拉马戈,南海出版公司,2014,29.50
180,雷雨,8.6,曹禺,人民文学出版社,1999,9.20
181,上学记,8.9,何兆武,生活·读书·新知三联书店,2006,19.80
182,黑客与画家,8.7,保罗·格雷厄姆,人民邮电出版社,2011,49.00
183,此生未完成,8.9,于娟,湖南科技出版社,2011,26.00
184,一桩事先张扬的凶杀案,8.7,加西亚·马尔克斯,南海出版公司,2013,25.00
185,天朝的崩溃,9.1,茅海建,生活·读书·新知三联书店,2005,32.00
186,巨流河,8.7,齐邦媛,生活·读书·新知三联书店,2010,39.00
187,张爱玲文集,8.9,张爱玲,安徽文艺出版社,1992,45
188,金锁记,8.6,张爱玲,哈尔滨出版社,2005,13.5
189,挪威的森林,8.5,村上春树,上海译文出版社,2007,23.00
190,草房子,9.0,曹文轩,江苏少年儿童出版社,2009,18.00
191,论语,9.1,无名,中华书局,2006,9.80
192,人间草木,9.1,汪曾祺,江苏文艺出版社,2005,20.00
193,老人与海,8.4,欧内斯特·海明威,上海译文出版社,1999,8.20
194,从一到无穷大,9.1,乔治·伽莫夫,科学出版社,2002,29.00
195,世界尽头与冷酷仙境,8.6,村上春树,上海译文出版社,2002,23.00
196,香水,8.5,帕·聚斯金德,上海译文出版社,2005,20.00
197,厌女,9.0,上野千鹤子,上海三联书店,2015,28.00
198,影响力,8.6,罗伯特·西奥迪尼,中国人民大学出版社,2006,45.00
199,夏洛的网,8.6,E·B·怀特,上海译文出版社,2004,17.00
200,美丽新世界,9.1,赫胥黎,上海译文出版社,2017,45.00
201,人类的群星闪耀时,8.7,斯蒂芬·茨威格,广西师范大学出版社,2004,18.00
202,我不知道该说什么，关于死亡还是爱情,9.1,S·A·阿列克谢耶维奇,花城出版社,2014,34.80
203,ZOO,8.6,乙一,当代世界出版社,2007,20.00
204,中国哲学简史,8.9,冯友兰,新世界出版社,2004,38.00
205,如彗星划过夜空,8.9,林达,生活·读书·新知三联书店,2006,21.00
206,佐贺的超级阿嬷,8.7,岛田洋七,南海出版公司,2007,20.00
207,额尔古纳河右岸,9.0,迟子建,北京十月文艺出版社,2005,29.00
208,海风中失落的血色馈赠,9.1,阿利斯泰尔·麦克劳德,上海文艺出版社,2015,CNY20.00
209,长日将尽,8.9,石黑一雄,上海译文出版社,2018,48.00
210,繁花,8.7,金宇澄,上海文艺出版社,2013,48.00
211,金阁寺,8.7,三岛由纪夫,上海译文出版社,2009,24.00
212,多情剑客无情剑(上、中、下),8.7,古龙,海天出版社,1991,49.8
213,哈姆莱特,8.6,威廉·莎士比亚,人民文学出版社,2001,7.00
214,火星救援,8.9,安迪·威尔,译林出版社,2015,38.00
215,骆驼祥子,8.4,老舍,人民文学出版社,2000,12.00
216,强风吹拂,9.0,三浦紫苑,广西师范大学出版社,2015,39.00
217,你一生的故事,8.7,特德·姜,译林出版社,2015,36.00
218,海底两万里,8.5,儒勒·凡尔纳,译林出版社,2002,19.50
219,荒原狼,9.0,赫尔曼·黑塞,上海译文出版社,2008,13.00
220,稻草人手记,8.9,三毛,北京十月文艺出版社,2009,18.00
221,社会契约论,8.8,卢梭,商务印书馆,2003,18.00
222,步履不停,8.7,是枝裕和,北京联合出版公司,2017,36.80
223,克莱因壶,8.8,冈岛二人,化学工业出版社,2019,48.00
224,狂热分子,8.9,埃里克·霍弗,广西师范大学出版社,2011,34.00
225,二手时间,8.8,S.A.阿列克谢耶维奇,中信出版集团,2016,55.00
226,长袜子皮皮,9.0,阿斯特丽德·林格伦,中国少年儿童出版社,1999,17.80
227,别闹了，费曼先生,8.9,理查德·费曼,生活·读书·新知三联书店,1997,22.00
228,了不起的盖茨比,8.7,弗·司各特·菲茨杰拉德,南海出版公司,2012,25.00
229,呼啸山庄,8.4,艾米莉·勃朗特,人民文学出版社,1999,27.30
230,心是孤独的猎手,8.5,卡森·麦卡勒斯,上海三联书店,2005,25.00
231,牡丹亭,9.0,汤显祖,人民文学出版社,1963,14.50
232,告白,8.5,凑佳苗,哈尔滨出版社,2010,26.00
233,通往奴役之路,8.8,弗里德利希・冯・哈耶克,中国社会科学出版社,1997,16.00
234,尘埃落定,8.5,阿来,人民文学出版社,1998,22.0
235,欢乐英雄,8.8,古龙,珠海出版社,2005,28.00
236,小姨多鹤,8.6,严歌苓,作家出版社,2008,28.00
237,西方哲学史（上卷）,8.9,伯特兰·罗素,商务印书馆,1963,25.00
238,被讨厌的勇气,8.6,岸见一郎,机械工业出版社,2015,39.8
239,消失的13级台阶,8.7,高野和明,上海文艺出版社,2020,42.00
240,世界的凛冬,8.8,肯·福莱特,江苏凤凰文艺出版社,2017,132.00（全三册）
241,娱乐至死,8.5,尼尔·波兹曼,广西师范大学出版社,2011,29.80
242,长夜难明,8.5,紫金陈,云南人民出版社,2017,42.00
243,当呼吸化为空气,8.8,保罗·卡拉尼什,猫头鹰文化·浙江文艺出版社,2016,48.00
244,卓有成效的管理者,8.7,彼得·德鲁克,机械工业出版社,2005,28.00
245,红玫瑰与白玫瑰,8.4,张爱玲,花城出版社,1996,12.80
246,陆小凤传奇,8.7,古龙,珠海出版社,2005,94.00
247,心理学与生活,8.8,理查德·格里格,人民邮电出版社,2003,88.00
248,一个人的村庄,8.9,刘亮程,春风文艺出版社,2006,28.00
249,不存在的骑士,8.9,伊塔洛·卡尔维诺,译林出版社,2012,22.00
250,带一本书去巴黎,8.5,林达,生活·读书·新知三联书店,2002,35.00
